seed,method,n_train,accuracy,exploitation_rate,avg_reliability,avg_curl_ratio,avg_harmonic_ratio
0,raw,3000,0.7426666666666667,0.387,1.0,0.0,4.807917987332893e-32
0,harmonic_only,3000,0.739,0.381,1.0,0.0,4.807917987332893e-32
0,curl_only,3000,0.7463333333333333,0.363,1.0,0.0,4.807917987332893e-32
0,reliability_score,3000,0.7413333333333333,0.397,1.0,0.0,4.807917987332893e-32
1,raw,3000,0.7466666666666667,0.376,1.0,0.0,4.831706146505052e-32
1,harmonic_only,3000,0.752,0.4,1.0,0.0,4.831706146505052e-32
1,curl_only,3000,0.7446666666666667,0.361,1.0,0.0,4.831706146505052e-32
1,reliability_score,3000,0.748,0.376,1.0,0.0,4.831706146505052e-32
2,raw,3000,0.7506666666666667,0.379,1.0,0.0,4.8368187068257135e-32
2,harmonic_only,3000,0.7473333333333333,0.379,1.0,0.0,4.8368187068257135e-32
2,curl_only,3000,0.75,0.369,1.0,0.0,4.8368187068257135e-32
2,reliability_score,3000,0.7433333333333333,0.365,1.0,0.0,4.8368187068257135e-32
3,raw,3000,0.743,0.392,1.0,0.0,4.79603786042066e-32
3,harmonic_only,3000,0.7353333333333333,0.384,1.0,0.0,4.79603786042066e-32
3,curl_only,3000,0.73,0.396,1.0,0.0,4.79603786042066e-32
3,reliability_score,3000,0.7353333333333333,0.418,1.0,0.0,4.79603786042066e-32
4,raw,3000,0.759,0.372,1.0,0.0,4.809513307495315e-32
4,harmonic_only,3000,0.7673333333333333,0.377,1.0,0.0,4.809513307495315e-32
4,curl_only,3000,0.7566666666666667,0.367,1.0,0.0,4.809513307495315e-32
4,reliability_score,3000,0.7496666666666667,0.367,1.0,0.0,4.809513307495315e-32
5,raw,3000,0.7476666666666667,0.393,1.0,0.0,4.8025808861511114e-32
5,harmonic_only,3000,0.7496666666666667,0.385,1.0,0.0,4.8025808861511114e-32
5,curl_only,3000,0.7613333333333333,0.372,1.0,0.0,4.8025808861511114e-32
5,reliability_score,3000,0.7546666666666667,0.364,1.0,0.0,4.8025808861511114e-32
6,raw,3000,0.7463333333333333,0.388,1.0,0.0,4.8218187529070563e-32
6,harmonic_only,3000,0.7396666666666667,0.368,1.0,0.0,4.8218187529070563e-32
6,curl_only,3000,0.7506666666666667,0.357,1.0,0.0,4.8218187529070563e-32
6,reliability_score,3000,0.748,0.363,1.0,0.0,4.8218187529070563e-32
7,raw,3000,0.7573333333333333,0.381,1.0,0.0,4.816576894997606e-32
7,harmonic_only,3000,0.7556666666666667,0.387,1.0,0.0,4.816576894997606e-32
7,curl_only,3000,0.753,0.4,1.0,0.0,4.816576894997606e-32
7,reliability_score,3000,0.7513333333333333,0.388,1.0,0.0,4.816576894997606e-32
8,raw,3000,0.7623333333333333,0.388,1.0,0.0,4.8182124049789294e-32
8,harmonic_only,3000,0.7613333333333333,0.389,1.0,0.0,4.8182124049789294e-32
8,curl_only,3000,0.7536666666666667,0.399,1.0,0.0,4.8182124049789294e-32
8,reliability_score,3000,0.7613333333333333,0.379,1.0,0.0,4.8182124049789294e-32
9,raw,3000,0.7373333333333333,0.4,1.0,0.0,4.8436486568881467e-32
9,harmonic_only,3000,0.7316666666666667,0.41,1.0,0.0,4.8436486568881467e-32
9,curl_only,3000,0.737,0.378,1.0,0.0,4.8436486568881467e-32
9,reliability_score,3000,0.735,0.389,1.0,0.0,4.8436486568881467e-32
